Season,AvgTime,FirstGame,LastGame,NbGames,Region,TournamentName
S3,2130,2013-12-14,2013-12-22,10,WR,Battle of the Atlantic 2013
S3,1926,2013-09-16,2013-10-04,63,WR,Season 3 World Championship
S4,2168,2014-09-18,2014-10-19,78,WR,World Championship 2014
S4,2196,2014-08-23,2014-09-01,29,NA,NA LCS Summer Playoffs 2014
S4,2470,2014-08-07,2014-08-17,26,EUW,EU LCS Summer Playoffs 2014
S4,2339,2014-05-23,2014-08-03,112,NA,NA LCS Summer 2014
S4,2383,2014-05-20,2014-07-31,112,EUW,EU LCS Summer 2014
S4,1993,2014-05-08,2014-05-11,17,WR,All-Star 2014
S4,2038,2014-04-18,2014-04-20,18,NA,NA LCS Spring Playoffs 2014
S4,2327,2014-04-15,2014-04-17,20,EUW,EU LCS Spring Playoffs 2014
S4,2219,2014-01-17,2014-04-06,112,NA,NA LCS Spring 2014
S4,2362,2014-01-14,2014-04-03,112,EUW,EU LCS Spring 2014
S5,2373,2015-11-21,2015-11-23,11,WR,IEM San Jose 2015
S5,2158,2015-10-01,2015-10-31,73,WR,World Championship 2015
S5,2225,2015-09-11,2015-09-12,8,KR,LCK Spring Promotion 2015
S5,2361,2015-09-06,2015-09-07,7,NA,NA LCS Spring Promotion 2015
S5,2028,2015-09-05,2015-09-05,8,EUW,EU LCS Spring Promotion 2015
S5,2460,2015-09-04,2015-09-05,14,CN,LPL Regional Qualifiers 2015
S5,2269,2015-09-02,2015-09-05,12,KR,LCK Regional Qualifier 2015
S5,2577,2015-08-29,2015-09-05,9,WR,IWC Desafio 2015
S5,2221,2015-08-29,2015-08-31,11,EUW,EU Regional Qualifiers 2015
S5,2154,2015-08-29,2015-08-31,14,NA,NA Regional Qualifiers 2015
S5,2213,2015-08-26,2015-08-29,16,WR,IWC Turkey 2015
S5,2199,2015-08-16,2015-08-29,14,KR,LCK Summer Playoffs 2015
S5,2088,2015-08-11,2015-08-23,37,CN,LPL Summer Playoffs 2015
S5,2331,2015-08-08,2015-08-23,21,NA,NA LCS Summer Playoffs 2015
S5,2271,2015-08-08,2015-08-23,23,EUW,EU LCS Summer Playoffs 2015
S5,2243,2015-08-14,2015-08-16,13,TW,LMS Regional 2015
S5,2320,2015-05-20,2015-08-13,217,KR,LCK Summer 2015
S5,2152,2015-05-22,2015-08-09,264,CN,LPL Summer 2015
S5,2335,2015-05-30,2015-07-26,93,NA,NA LCS Summer 2015
S5,2329,2015-07-24,2015-07-26,11,TW,LMS Summer Playoffs 2015
S5,2265,2015-05-28,2015-07-24,91,EUW,EU LCS Summer 2015
S5,2006,2015-05-07,2015-05-10,28,WR,Mid-Season Invitational 2015
S5,2254,2015-04-17,2015-05-02,11,KR,LCK Spring Playoffs 2015
S5,2064,2015-04-14,2015-04-26,32,CN,LPL Spring Playoffs 2015
S5,2540,2015-04-24,2015-04-25,7,WR,International Wildcard 2015
S5,2121,2015-04-04,2015-04-19,25,NA,NA LCS Spring Playoffs 2015
S5,2149,2015-04-04,2015-04-19,27,EUW,EU LCS Spring Playoffs 2015
S5,2454,2015-04-10,2015-04-12,10,TW,LMS Spring Playoffs 2015
S5,2183,2015-01-16,2015-04-12,264,CN,LPL Spring 2015
S5,2415,2015-01-07,2015-04-11,128,KR,Champions Spring 2015
S5,2275,2015-01-25,2015-03-30,92,NA,NA LCS Spring 2015
S5,2355,2015-01-23,2015-03-28,91,EUW,EU LCS Spring 2015
S5,2142,2015-03-13,2015-03-15,19,WR,IEM Katowice 2015
S5,2316,2014-12-19,2014-12-21,14,WR,IEM Cologne 2014
S5,2225,2014-12-03,2014-12-20,36,KR,OGN Champions Preseason 2015
S5,2287,2014-12-06,2014-12-07,12,WR,IEM San Jose 2014
S6,1999,2016-11-19,2016-11-21,14,WR,IEM Oakland 2016
S6,2312,2016-09-29,2016-10-30,77,WR,World Championship 2016
S6,2047,2016-09-03,2016-09-05,10,NA,NA Regional Qualifiers 2016
S6,2144,2016-09-03,2016-09-05,11,EUW,EU Regional Qualifiers 2016
S6,2364,2016-09-02,2016-09-04,11,TW,LMS Regional Qualifiers 2016
S6,2238,2016-08-24,2016-09-04,38,WR,IWC Qualifier 2016
S6,2183,2016-08-29,2016-09-03,14,KR,LCK Regional Qualifiers 2016
S6,2182,2016-08-27,2016-08-28,15,CN,LPL Regional Qualifiers 2016
S6,2304,2016-08-13,2016-08-28,25,NA,NA LCS Summer Playoffs 2016
S6,2149,2016-08-13,2016-08-28,24,EUW,EU LCS Summer Playoffs 2016
S6,2911,2016-08-22,2016-08-27,14,KR,LCK Spring Promo 2017
S6,2189,2016-08-10,2016-08-26,32,CN,LPL Summer Playoffs 2016
S6,2536,2016-08-17,2016-08-21,11,TW,LMS Summer Playoffs 2016
S6,2247,2016-08-08,2016-08-20,15,KR,LCK Summer Playoffs 2016
S6,2173,2016-08-04,2016-08-07,14,NA,NA LCS 2017 Spring Promo
S6,2229,2016-08-04,2016-08-07,18,EUW,EU LCS 2017 Spring Promo
S6,2221,2016-05-26,2016-08-07,232,CN,LPL Summer 2016
S6,2304,2016-05-25,2016-08-06,212,KR,LCK Summer 2016
S6,2193,2016-06-02,2016-07-31,182,EUW,EU LCS Summer 2016
S6,2123,2016-06-03,2016-07-31,218,NA,NA LCS Summer 2016
S6,2148,2016-05-04,2016-05-15,41,WR,Mid-Season Invitational 2016
S6,3053,2016-04-28,2016-04-29,7,KR,LCK Summer Promo 2016
S6,1837,2016-04-20,2016-04-23,10,WR,IWCI Playoffs 2016
S6,2056,2016-04-13,2016-04-23,24,CN,LPL Spring Playoffs 2016
S6,2396,2016-04-13,2016-04-23,13,KR,LCK Spring Playoffs 2016
S6,2166,2016-04-15,2016-04-17,11,TW,LMS Spring Playoffs 2016
S6,2053,2016-04-02,2016-04-17,23,NA,NA LCS Spring Playoffs 2016
S6,2136,2016-04-02,2016-04-17,25,EUW,EU LCS Spring Playoffs 2016
S6,2161,2016-01-14,2016-04-10,226,CN,LPL Spring 2016
S6,2261,2016-01-13,2016-04-09,215,KR,LCK Spring 2016
S6,2070,2016-04-06,2016-04-08,13,NA,NA LCS Summer Promo 2016
S6,2004,2016-03-24,2016-03-27,18,EUW,EU LCS Summer Promo 2016
S6,2097,2016-01-16,2016-03-20,90,NA,NA LCS Spring 2016
S6,2129,2016-01-14,2016-03-18,90,EUW,EU LCS Spring 2016
S6,2067,2016-03-04,2016-03-06,25,WR,IEM Katowice 2016
S6,2013,2015-12-18,2015-12-20,17,WR,IEM Cologne 2015
S7,2153,2017-10-05,2017-11-04,80,WR,World Championship 2017
S7,2004,2017-09-23,2017-09-29,39,WR,World Championship Play-In 2017
S7,2332,2017-09-12,2017-09-16,16,KR,LCK Spring Promotion 2018
S7,2081,2017-09-08,2017-09-10,11,NA,NA LCS Regional Qualifiers 2017
S7,2037,2017-09-08,2017-09-10,11,EUW,EU LCS Regional Qualifiers 2017
S7,1971,2017-09-02,2017-09-03,8,CN,LPL Regional Qualifiers 2017
S7,2254,2017-08-19,2017-09-03,23,NA,NA LCS Summer Playoffs 2017
S7,2197,2017-08-19,2017-09-03,23,EUW,EU LCS Summer Playoffs 2017
S7,2295,2017-08-19,2017-09-03,12,CIS,LCL Summer Playoffs 2017
S7,2125,2017-08-19,2017-09-02,13,BR,CBLOL Winter Playoffs 2017
S7,2223,2017-08-28,2017-09-02,13,KR,LCK Regional Qualifiers 2017
S7,2086,2017-08-22,2017-09-01,31,CN,LPL Summer Playoffs 2017
S7,2349,2017-08-26,2017-08-28,12,TW,LMS Regional Qualifiers 2017
S7,2011,2017-08-12,2017-08-26,14,KR,LCK Summer Playoffs 2017
S7,1936,2017-08-17,2017-08-25,20,EUW,EU LCS Spring Promotion 2017
S7,2043,2017-08-18,2017-08-25,12,TW,LMS Summer Playoffs 2017
S7,2121,2017-06-08,2017-08-20,233,CN,LPL Summer 2017
S7,2058,2017-06-01,2017-08-13,153,EUW,EU LCS Summer 2017
S7,2183,2017-08-11,2017-08-13,19,NA,NA LCS Spring Promotion 2018
S7,2082,2017-06-18,2017-08-06,37,EUW,EU CS Summer 2017
S7,2083,2017-06-24,2017-08-06,60,CIS,LCL Summer 2017
S7,2182,2017-05-30,2017-08-06,219,KR,LCK Summer 2017
S7,2112,2017-06-03,2017-08-06,226,NA,NA LCS Summer 2017
S7,2113,2017-06-03,2017-08-06,132,TW,LMS Summer 2017
S7,2034,2017-06-08,2017-07-28,82,NA,NA CS Summer 2017
S7,2291,2017-06-03,2017-07-23,56,BR,CBLOL Winter 2017
S7,2319,2017-07-06,2017-07-09,21,WR,LCK-LPL-LMS Rift Rivals 2017
S7,2068,2017-07-06,2017-07-09,19,WR,LCL-TCL Rift Rivals 2017
S7,2117,2017-07-05,2017-07-08,21,WR,EU-NA Rift Rivals 2017
S7,2253,2017-07-05,2017-07-08,22,WR,CBLOL-LLN-CLS Rift Rivals 2017
S7,2091,2017-07-03,2017-07-06,18,WR,GPL-OPL-LJL Rift Rivals 2017
S7,2151,2017-05-10,2017-05-21,42,WR,Mid-Season Invitational 2017
S7,2041,2017-04-28,2017-05-06,36,WR,MSI Play-In 2017
S7,2153,2017-04-18,2017-04-29,31,CN,LPL Spring Playoffs 2017
S7,2265,2017-04-21,2017-04-23,11,TW,LMS Spring Playoffs 2017
S7,2316,2017-04-08,2017-04-23,23,EUW,EU LCS Spring Playoffs 2017
S7,2111,2017-04-08,2017-04-23,24,NA,NA LCS Spring Playoffs 2017
S7,1992,2017-04-07,2017-04-22,11,KR,LCK Spring Playoffs 2017
S7,2203,2017-01-19,2017-04-16,231,CN,LPL Spring 2017
S7,2433,2017-04-06,2017-04-14,18,EUW,EU LCS Summer Promotion 2017
S7,2043,2017-04-01,2017-04-09,14,CIS,LCL Spring Playoffs 2017
S7,2194,2017-01-21,2017-04-09,125,TW,LMS Spring 2017
S7,2221,2017-03-25,2017-04-08,11,BR,CBLOL Summer Playoffs 2017
S7,2208,2017-04-01,2017-04-02,22,NA,NA LCS Summer Promotion 2017
S7,2227,2017-01-17,2017-04-02,222,KR,LCK Spring 2017
S7,2190,2017-01-19,2017-04-02,156,EUW,EU LCS Spring 2017
S7,2107,2017-02-05,2017-03-26,39,EUW,EU CS Spring 2017
S7,2234,2017-01-21,2017-03-26,221,NA,NA LCS Spring 2017
S7,2301,2017-01-28,2017-03-19,55,CIS,LCL Spring 2017
S7,2222,2017-01-26,2017-03-16,41,NA,NA CS Spring 2017
S7,2355,2017-01-21,2017-03-12,56,BR,CBLOL Summer 2017
S7,2313,2017-02-22,2017-02-26,27,WR,IEM Katowice 2017
S7,1958,2016-12-14,2016-12-18,26,WR,IEM Gyeonggi 2016
S8,1950,2018-10-10,2018-11-03,77,WR,World Championship 2018
S8,1897,2018-10-01,2018-10-07,42,WR,World Championship Play-In 2018
S8,2029,2018-09-17,2018-09-30,42,EUW,EU Masters Summer 2018
S8,1810,2018-09-07,2018-09-22,13,VN,VCS Summer Playoffs 2018
S8,1906,2018-09-20,2018-09-22,12,TW,LMS Regional Qualifiers 2018
S8,2303,2018-09-18,2018-09-22,14,KR,LCK Spring Promotion 2019
S8,2191,2018-09-15,2018-09-16,9,CN,LPL Regional Qualifiers 2018
S8,1981,2018-09-14,2018-09-16,9,NA,NA LCS Regional Qualifiers 2018
S8,2101,2018-09-14,2018-09-16,14,EUW,EU LCS Regional Qualifiers 2018
S8,2043,2018-09-12,2018-09-16,13,KR,LCK Regional Qualifiers 2018
S8,2000,2018-08-25,2018-09-16,20,TR,TCL Summer Playoffs 2018
S8,2049,2018-09-08,2018-09-15,7,JP,LJL Summer Playoffs 2018
S8,1993,2018-09-07,2018-09-15,10,TW,LMS Summer Playoffs 2018
S8,1956,2018-09-05,2018-09-14,32,CN,LPL Summer Playoffs 2018
S8,1940,2018-09-10,2018-09-13,23,EUW,EU Masters 2018 Summer Play-In
S8,2059,2018-08-25,2018-09-09,25,NA,NA LCS Summer Playoffs 2018
S8,1948,2018-08-24,2018-09-09,24,EUW,EU LCS Summer Playoffs 2018
